Parameter, Value
1_Mean Absolute Error,1656.147651
1_Root Mean Squared Error,2456.983209
1_Relative Absolute Error,0.276606
1_Relative Squared Error,0.089608
1_Coefficient of Determination,0.910392
2_Mean Absolute Error,1265.001752
2_Root Mean Squared Error,1783.328763
2_Relative Absolute Error,0.253181
2_Relative Squared Error,0.067781
2_Coefficient of Determination,0.932219
3_Mean Absolute Error for 1st fold,1186.05648
3_Mean Absolute Error for 2nd fold,1703.545693
3_Mean Absolute Error for 3rd fold,1540.226393
3_Mean Absolute Error for 4th fold,1366.784916
3_Relative Squared Error for 1st fold,0.063119
3_Relative Squared Error for 2nd fold,0.227008
3_Relative Squared Error for 3rd fold,0.160647
3_Relative Squared Error for 4th fold,0.158915